Product Id,Review Text
1,"Absolutely gorgeous ring I love it. 	You dont really have to size it is adjustable but not in a cheesey flimsy way  its well made and looks just like the picture."
2,Looks and feels like a more expensive ring. I purchased a bunch for a group of people and everyone was able to adjust it to fit them. The engraving is easy to read and the hands are nice looking but subtle.
3,Gave this sterling silver spinner ring to a young lady that works in my nursing home. She only had to bend it a little to get a perfect feel. When she visits me I see her spinning it around on her finger. I said to her I'm so happy 😊 you like your ring. She responded to me I love my ring as much as the person who gave it to me! There is a wonderful inscription inside. I bought a few more.
4,"That ""one little thing"" is... Although advertised as made up of Sterling silver  it is obvious to me  that is not the case. 	The ring is very cute and it may ""contain"" some sterling in the mix  but it is definitely made up of other metals or metal. I only paid a few bucks for it and it is worth keeping. I just hope it does not turn the finger green."
5,"My daughter absolutely loved this ring.  Not only beautiful but meaningful.	However  in less than a week there was a perfect imprint of hands and all in green around her finger.  Very disappointing.  This is not 100% stirling silver. Copper causes the green.  Not sure yet to return or cover in clear polish as she really likes the ring."
6,It’s a cute ring at first  but turned my daughter’s finger green by the next day wearing. Definitely not “sterling silver” as described! I wish I took pics  when she first started wearing! A month later all the coloring is off and some of the inscription inside. Even after all the coloring came off  her finger still has a tinge of green because she wants to wear.
7,i thought the rings were foing to come in this nice box so i can give them to my girls who lost their father coming up on 2 years. but they came in a plastic bag with no note card saying what its about.
8,Says its sterling silver. But really turned my finger green???
9,The ring is changing and colors
10,the ring states that it is sterling silver and after 2 weeks it has turned copper and my daughter's finger green
11,i bought this for a friend that just lost her boyfriend
12,This ring is so well made Absolutely Beautiful  I wear it as a reminder my Husband is always with me giving me a hug
13,Great for my teenage daughter. A little reminder when things get tough that am right there with her.
14,This is basically James av ery quality !! I love it. I didn't expect it to look and feel this good. Get it.
15,its a beautiful widow's ring
16,very cute   feels good on my finger.
17,I purchased the ring for my lady and she loves it
18,looked just like the picture.
19,Appeared perfect.  Thin silver plating gone almost instantly after worn.  Very disappointing.
20,very nice love them bought 3
21,love the style but the ring is not sterling silver its already showing copper im upset this is fake
22,Dislike  not real sterling silver
23,Beautiful  very smooth fitting. Thanks again.
24,unfortunately the ring turned color.i
25,Not rwal sterling silver :( A gift that turned her finger green within just a few days :(
26,Amazing Same As Shown In Image
27,bought for a gift .  it faded in the second day
28,this is a very cute ring for grand daughter. everyone loves it.
29,very cute a little girl all the way up to adult.
30,It was supposed to be.925 silver and the fist day I wore it the silver came off
31,not real silver turned colors in 4 days
32,it is copper coated with very thin silver. its not sterling  silver. it wont let me put a picture for ratings
33,beautiful ring and adjustable so perfect for anyone that you dont know the ring size or they may have to have different sizes due to water retention.
34,"ILuvThis'Adjustable'SimpleDesign💍	Ring w/‘AlwaysThere4U' onInsideRing	!SuchFineStatement%26PerfectGift🎁♥️"
35,This ring garbage ! Gave it to my granddaughter for Christmas and the silver plating has come off  already   I knew for the money it wasn't  the best   but in less then a month its going in the garage!!
36,My granddaughter loved the ring
37,It turned colors after 2 weeks
38,Amazing Ring Same As Shown In Image And Quality Is Amazing
39,It's unique and very pretty
40,I don't remember getting the ring.
41,pretty ring but is not sterling silver turn colors within a week.
42,very upset how cheap this ring turned out to be  and it was sterling silver????
43,So cute. I gave these to 2 teenage granddaughters and copied a poem online to go with them.
44,The ring is very cute and I got it for my Daughter from her son for Christmas! And she loved it until it started turning her finger green!! I have never had sterling silver turn my finger green!! And I wrote the company and asked them about it and it's been 2 weeks now and I haven't heard anything from them!! So I will not be buying anything from them anymore!
45,"Does not come with box like it insinuates in one of the pics. It comes in a little plastic baggie. 	So you have to buy something separate to put it in if you’re giving it to someone."
46,Not true sterling  turned my finger enough in three hours..and sterling is all I can ware
47,After a week it started to tarnish and turn my daughters finger green. Don’t waste your money on it
48,Pretty nice. Very low price. My girls all love them.
49,its very delicate and looks good on my hand.  maybe because I have small hands and fingers
50,The only caveat I would attach to this ring is that you probably need to be careful with regard to touching your hair or wearing clothing made of lace when you're wearing it since the thumbs on the ring appear to catch. All in all  however  this is a lovely everyday piece...especially for the price!
